mass	density
15000000000.0	14024.0
16985199769.5	12145.0
19233134080.7	47393.0
21778574970.4	132036.0
24660896437.9	480729.0
27924683499.5	2367338.0
31620421849.4	1196183.0
35805278793.9	1274549.0
40543987541.3	1151167.0
45909848522.8	805916.0
51985863236.6	722883.0
58866018151.1	516552.0
66656738528.9	454352.0
75478534660.0	329999.0
85467865967.5	318437.0
96779251822.2	225637.0
109587661716.0	202867.0
124091221769.0	154327.0
140514279426.0	119261.0
159110873768.0	97156.0
180168665097.0	76194.0
204013384593.0	58481.0
231013872864.0	44871.0
261587785342.0	34887.0
296208052754.0	26509.0
335410196625.0	20318.0
379800612961.0	14664.0
430065952249.0	10850.0
486983740869.0	8540.0
551434408212.0	5933.0
624414905551.0	4306.0
707054127325.0	2913.0
800630373366.0	2097.0
906591122212.0	1462.0
1.02657542134e+12	1021.0
1.16243924066e+12	691.0
1.31628418151e+12	458.0
1.49048998509e+12	304.0
1.68775134342e+12	198.0
1.91111958195e+12	138.0
2.16404985886e+12	80.0
2.45045461093e+12	43.0
2.77476407286e+12	24.0
3.14199480606e+12	12.0
3.55782729705e+12	5.0
4.02869382573e+12	3.0
4.56187796269e+12	2.0
5.1656272347e+12	1.0
5.84928070109e+12	1.0
6.62341341441e+12	0.0
