Función de masa
Masa	Densidad
15000000000.0	0.0
15937710858.8	5648.0
16934041828.0	8376.0
17992657488.4	0.0
19117451508.8	12145.0
20312560967.0	18319.0
21582381566.3	29074.0
22931583803.2	48073.0
24365130146.0	83963.0
25888293287.0	160059.0
27506675535.8	320670.0
29226229425.2	612992.0
31053279604.8	980922.0
32994546104.0	773424.0
35057169048.2	1196183.0
37248734921.3	488602.0
39577304468.9	785947.0
42051442346.5	334943.0
44680248621.0	572061.0
47473392241.5	472352.0
50441146602.1	398808.0
53594427328.9	344267.0
56944832427.5	299768.0
60504684942.2	373853.0
64287078280.9	212137.0
68305924373.4	275406.0
72576004840.5	232951.0
77113025362.5	197386.0
81933673445.1	168864.0
87055679798.0	144942.0
92497883549.3	164485.0
98280301537.5	138989.0
104424201935.0	116515.0
110952182473.0	100902.0
117888253561.0	106867.0
125257926594.0	88240.0
133088307789.0	74609.0
141408197882.0	63792.0
150248198061.0	65252.0
159640822517.0	62167.0
169620618036.0	44719.0
180224291064.0	44279.0
191490842714.0	41615.0
203461712219.0	34579.0
216180929346.0	28774.0
229695276341.0	27104.0
244054459997.0	25111.0
259311294483.0	20538.0
275521895593.0	18747.0
292745887149.0	15400.0
311046620300.0	13877.0
330491406530.0	12602.0
351151765241.0	11025.0
373103686798.0	8997.0
396427912037.0	8428.0
421210229228.0	6905.0
447541789614.0	6191.0
475519442674.0	4934.0
505246092340.0	4569.0
536831075484.0	4231.0
570390564073.0	3419.0
606047992454.0	2937.0
643934511353.0	2457.0
684189470265.0	2085.0
726960929982.0	1752.0
772406207182.0	1508.0
820692453042.0	1188.0
871997268040.0	1043.0
926509355181.0	843.0
984429214059.0	711.0
1.04596987831e+12	642.0
1.11135769917e+12	501.0
1.18083317801e+12	432.0
1.25465185091e+12	356.0
1.33308522855e+12	289.0
1.41642179485e+12	241.0
1.50496806803e+12	182.0
1.59904972801e+12	172.0
1.69901281426e+12	124.0
1.80522499861e+12	106.0
1.91807693753e+12	87.0
2.03798370902e+12	78.0
2.16538633929e+12	55.0
2.30075342489e+12	37.0
2.44458285622e+12	38.0
2.59740364886e+12	27.0
2.75977788928e+12	19.0
2.93230280226e+12	15.0
3.11561294753e+12	8.0
3.31038255372e+12	7.0
3.51732799822e+12	8.0
3.73721044208e+12	1.0
3.97083862964e+12	4.0
4.21907186308e+12	2.0
4.48282316309e+12	1.0
4.76306262698e+12	1.0
5.06082099675e+12	0.0
5.3771934503e+12	2.0
5.71334362953e+12	0.0
6.0705079203e+12	1.0
