mass	density
15000000000.0	5648.0
15935846886.8	8376.0
16930081066.7	0.0
17986345310.7	12145.0
19108509661.7	18319.0
20300685613.6	29074.0
21567241175.8	48073.0
22912816876.6	83963.0
24342342766.1	160059.0
25861056479.2	320670.0
27474522425.6	612992.0
29188652177.6	980922.0
31009726129.0	773424.0
32944416506.3	1196183.0
34999811814.7	488602.0
37183442809.8	785947.0
39503310089.5	334943.0
41967913407.3	572061.0
44586282814.6	472352.0
47368011745.8	398808.0
50323292167.6	344267.0
53462951921.7	299768.0
56798494396.1	373853.0
60342140673.3	212137.0
64106874306.3	275406.0
68106488889.2	232951.0
72355638595.9	197386.0
76869891870.9	168864.0
81665788470.9	144942.0
86760900064.3	164485.0
92173894612.6	138989.0
97924604767.4	116515.0
104034100535.0	100902.0
110524766476.0	106867.0
117420383718.0	72314.0
124746217088.0	90535.0
132529107681.0	63792.0
140797571204.0	65252.0
149581902450.0	54009.0
158914286299.0	52877.0
168828915639.0	44279.0
179362116647.0	36686.0
190552481879.0	35643.0
202441011675.0	29243.0
215071264378.0	27821.0
228489515926.0	25415.0
242744929403.0	20998.0
257889735168.0	17497.0
273979422221.0	17316.0
291072941511.0	14060.0
309232921921.0	12801.0
328525899741.0	10469.0
349022562442.0	9831.0
370798007675.0	8103.0
393932018417.0	7449.0
418509355288.0	5966.0
444620067105.0	5052.0
472359820813.0	4645.0
501830251998.0	4255.0
533139337268.0	3529.0
566401789871.0	2847.0
601739479987.0	2552.0
639281881256.0	2145.0
679166545149.0	1799.0
721539604943.0	1490.0
766556311145.0	1193.0
814381600303.0	1095.0
865190699325.0	849.0
919169767491.0	745.0
976516578516.0	653.0
1.03744124518e+12	513.0
1.10216698915e+12	432.0
1.17093095886e+12	366.0
1.24398509836e+12	293.0
1.32159707046e+12	248.0
1.4040512374e+12	196.0
1.4916497027e+12	162.0
1.58471341807e+12	137.0
1.68358335932e+12	106.0
1.78862177569e+12	92.0
1.90021351706e+12	76.0
2.01876744401e+12	57.0
2.14471792586e+12	42.0
2.27852643213e+12	41.0
2.42068322334e+12	26.0
2.57170914724e+12	20.0
2.7321575472e+12	16.0
2.90261628952e+12	6.0
3.08370991741e+12	10.0
3.27610193915e+12	6.0
3.4804972592e+12	3.0
3.69764476084e+12	2.0
3.92834005004e+12	4.0
4.17342837046e+12	0.0
4.43380770033e+12	2.0
4.71043204254e+12	0.0
5.00431492005e+12	2.0
5.3165330893e+12	0.0
5.64823048532e+12	1.0
6.00062241304e+12	0.0
